match_id,player,Date,avg_bp_clutch_save_pct,avg_bp_first_in_pct,avg_bpo_conv_pct,avg_bpo_ue_pct
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,1980-07-05,0.6263102725366876,0.6352201257861635,0.35551075268817206,0.13844086021505375
19800705-M-Wimbledon-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,1980-07-05,0.6688194520710511,0.5871331074419522,0.5243148505503676,0.13750901049458725
19800705-M-Wimbledon-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,1980-07-05,0.5416666666666666,0.5,0.26666666666666666,0.26666666666666666
19800705-M-Wimbledon-SF-John_Mcenroe-Jimmy_Connors,Jimmy Connors,1980-07-05,0.5896512339984227,0.6549789807473704,0.4571713696137659,0.184541760117797
19800705-M-Wimbledon-SF-John_Mcenroe-Jimmy_Connors,John Mcenroe,1980-07-05,0.636445654327941,0.6075596858474921,0.3574890961696247,0.19671157749276677
19800906-M-US_Open-SF-Johan_Kriek-Bjorn_Borg,Bjorn Borg,1980-09-06,0.6737817069117873,0.5840475057982931,0.525430351941576,0.13166007605938085
19800906-M-US_Open-SF-Johan_Kriek-Bjorn_Borg,Johan Kriek,1980-09-06,,,,
19800906-M-US_Open-SF-John_Mcenroe-Jimmy_Connors,Jimmy Connors,1980-09-06,0.591602724485462,0.660277660785528,0.43648328174537854,0.17970320676973903
19800906-M-US_Open-SF-John_Mcenroe-Jimmy_Connors,John Mcenroe,1980-09-06,0.6544175740792891,0.6275447643856191,0.36680103265353436,0.2001652620669435
19800907-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,1980-09-07,0.6721204108229845,0.5674281623663842,0.534365577715152,0.12919180441497666
19800907-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,1980-09-07,0.6454090592634313,0.6301608115084953,0.36728697996898135,0.2001322096535548
19801110-M-Stockholm-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,1980-11-10,0.6690844608538694,0.5536071577259558,0.5250065650215567,0.1253589794111384
19801110-M-Stockholm-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,1980-11-10,0.635724480603124,0.612435596892,0.3672969731034028,0.19058636518748615
19801205-M-Davis_Cup_World_Group_F-RR-Tomas_Smid-Adriano_Panatta,Adriano Panatta,1980-12-05,0.5787878787878787,0.6419191919191919,0.3716356107660455,0.16788454512239678
19801205-M-Davis_Cup_World_Group_F-RR-Tomas_Smid-Adriano_Panatta,Tomas Smid,1980-12-05,,,,
19810104-M-Australian_Open-F-Kim_Warwick-Brian_Teacher,Brian Teacher,1981-01-04,,,,
19810104-M-Australian_Open-F-Kim_Warwick-Brian_Teacher,Kim Warwick,1981-01-04,,,,
19810118-M-Tour_Finals-F-Ivan_Lendl-Bjorn_Borg,Bjorn Borg,1981-01-18,0.6600682238541032,0.55079848319451,0.5291727627581122,0.128309528500819
19810118-M-Tour_Finals-F-Ivan_Lendl-Bjorn_Borg,Ivan Lendl,1981-01-18,0.45652173913043476,0.5217391304347826,0.2727272727272727,0.18181818181818182
19810605-M-Roland_Garros-SF-Jose_Luis_Clerc-Ivan_Lendl,Ivan Lendl,1981-06-05,0.5115942028985507,0.47753623188405797,0.28501228501228504,0.2800982800982801
19810605-M-Roland_Garros-SF-Jose_Luis_Clerc-Ivan_Lendl,Jose Luis Clerc,1981-06-05,,,,
19810605-M-Roland_Garros-SF-Victor_Pecci-Bjorn_Borg,Bjorn Borg,1981-06-05,0.6629105224440099,0.5429074131437048,0.522783467463127,0.13086667104520883
19810605-M-Roland_Garros-SF-Victor_Pecci-Bjorn_Borg,Victor Pecci,1981-06-05,,,,
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,1981-06-07,0.6603675036801482,0.5589756998222233,0.520514906152087,0.12944426086164004
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Ivan Lendl,1981-06-07,0.5571800180495833,0.4831926527578701,0.32115573099179656,0.2850928424698917
19810703-M-Wimbledon-SF-Bjorn_Borg-Jimmy_Connors,Bjorn Borg,1981-07-03,0.6551358017829966,0.5576073813452859,0.5204846175549054,0.12418283375213181
19810703-M-Wimbledon-SF-Bjorn_Borg-Jimmy_Connors,Jimmy Connors,1981-07-03,0.5959545585169919,0.667255356595683,0.43138791710700314,0.1649445171286569
19810703-M-Wimbledon-SF-John_Mcenroe-Rod_Frawley,John Mcenroe,1981-07-03,0.60443050718363,0.5606590830502858,0.38013209939475345,0.20009443546682484
19810703-M-Wimbledon-SF-John_Mcenroe-Rod_Frawley,Rod Frawley,1981-07-03,,,,
19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,1981-07-04,0.6516960538496663,0.5605274985775157,0.5158254564857362,0.1266734587940713
19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,1981-07-04,0.6076810416117633,0.5557940889733478,0.3855816886653245,0.19415042764364124
19810911-M-US_Open-SF-Vitas_Gerulaitis-John_Mcenroe,John Mcenroe,1981-09-11,0.6176020033182004,0.5748472710066123,0.3750625111368541,0.19278017810747908
19810911-M-US_Open-SF-Vitas_Gerulaitis-John_Mcenroe,Vitas Gerulaitis,1981-09-11,0.47702834799608995,0.5356793743890518,0.32021470746108427,0.17419216317767042
19810912-M-US_Open-SF-Jimmy_Connors-Bjorn_Borg,Bjorn Borg,1981-09-12,0.6547168357044686,0.5683466254466417,0.5046257115670292,0.12160133097875334
19810912-M-US_Open-SF-Jimmy_Connors-Bjorn_Borg,Jimmy Connors,1981-09-12,0.5926971308343068,0.6850368631896357,0.42892709149799774,0.1620093874496895
19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,1981-09-13,0.6640264484646996,0.5717474759924913,0.5050041820862387,0.12161882540542542
19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,1981-09-13,0.6281494952940726,0.577362543905951,0.3692635770963394,0.18813630663819458
19820113-M-Tour_Finals-F-Vitas_Gerulaitis-Ivan_Lendl,Ivan Lendl,1982-01-13,0.5378850135371874,0.4823944895684026,0.3480096553867046,0.27631963185241876
19820113-M-Tour_Finals-F-Vitas_Gerulaitis-Ivan_Lendl,Vitas Gerulaitis,1982-01-13,0.5285029683141407,0.5420034332308132,0.30939179982658244,0.1537210454601759
19820508-M-Forest_Hills-F-Eddie_Dibbs-Ivan_Lendl,Eddie Dibbs,1982-05-08,,,,
19820508-M-Forest_Hills-F-Eddie_Dibbs-Ivan_Lendl,Ivan Lendl,1982-05-08,0.5492269297486689,0.48321288895201936,0.357819489015246,0.25634982312899385
