player,match_id,avg_first_serve_pct,avg_first_serve_won_pct,avg_second_serve_won_pct,avg_ace_pct,avg_df_pct,avg_return_won_pct,avg_winners_per_pt,avg_ue_per_pt,avg_winners_fh_ratio,avg_bp_save_pct,avg_bp_clutch_save_pct,avg_bp_first_in_pct,avg_bpo_conv_pct,avg_bpo_ue_pct,avg_srv_win_1_3,avg_srv_win_4_6,avg_srv_win_7plus,avg_ret_win_1_3,avg_ret_win_4_6,avg_ret_win_7plus,elo,elo_surface
Aleksandr Nedovyesov,20170921-M-Izmir_CH-R16-Aleksandr_Nedovyesov-Karim_Mohamed_Maamoun,0.7,0.7678571428571429,0.5833333333333334,0.05,0.025,0.2638888888888889,0.1118421052631579,0.19736842105263158,0.47058823529411764,0.3333333333333333,0.6666666666666666,0.7407407407407407,0.2222222222222222,0.16666666666666666,0.5346534653465347,0.38235294117647056,0.5294117647058824,,,,1516.2030207615664,1500.0
Aleksandre Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Alessandro Giannessi,20240110-M-Australian_Open-Q1-John_Millman-Alessandro_Giannessi,0.6460176991150443,0.6438356164383562,0.55,0.0,0.035398230088495575,0.4090909090909091,0.23318385650224216,0.20179372197309417,0.8846153846153846,0.7,0.5869565217391305,0.717391304347826,0.3953488372093023,0.2558139534883721,0.5348837209302325,0.5094339622641509,0.4880952380952381,,,,1515.3392222397163,1500.0
Alex Barrena,20260124-M-Itajai_CH-SF-Thiago_Seyboth_Wild-Alex_Barrena,0.7058823529411765,0.5833333333333334,0.6,0.0196078431372549,0.0196078431372549,0.18181818181818182,0.06315789473684211,0.11578947368421053,0.8333333333333334,0.5714285714285714,0.5217391304347826,0.6521739130434783,0.0,0.3,,,,0.42857142857142855,0.34782608695652173,0.375,1484.0,1484.0
Alex Bogdanovic,20040621-M-Wimbledon-R128-Roger_Federer-Alex_Bogdanovic,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Alex Bogomolov Jr,20040120-M-Australian_Open-R128-Roger_Federer-Alex_Bogomolov_Jr,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Alex Bolt,20210929-M-San_Diego-R32-Alex_Bolt-Hubert_Hurkacz,0.5517786561264821,0.7734375,0.43478260869565216,0.09614624505928854,0.029940711462450594,0.3263784461152882,0.19973537681239317,0.22016097910579413,0.5097222222222222,0.7008547008547008,0.6237837837837839,0.5632432432432433,0.4464285714285714,0.08333333333333333,0.4789719626168224,0.47,0.5311398354876615,,,,1529.3708246993835,1531.5202291256974
Alex Corretja,20020507-M-Rome_Masters-R64-Alex_Corretja-Giorgio_Galimberti,0.5370165381405513,0.6787499284569285,0.49208334400718073,0.04723238713134488,0.03225295963996981,0.3831063060122125,0.14900456141067026,0.1729009553849053,0.4868679203656384,0.5948589618442559,0.5844053320646225,0.5622046318603878,0.3876104146879518,0.11200736245406566,0.497738943795771,0.482567952210622,0.5229235132431749,0.47999454414865445,0.44134180080482893,0.5134698695024782,1601.3006802357615,1561.4052724414998
Alex De Minaur,20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,0.5867541931458555,0.7079828622512422,0.5226719655043656,0.045547558827911505,0.03198170810072913,0.3845737359067571,0.140184987873355,0.16995959627260102,0.49417345298509646,0.5719877451608221,0.6346483872770041,0.5832001516233343,0.3748341096872928,0.14484677299985715,0.5076598734706677,0.504679337661368,0.5154417967985311,0.4912716352865499,0.5027126124595936,0.5377224606742943,1380.5391131533636,1384.022724383414
Alex Kuznetsov,20141111-M-Champaign_CH-R32-Jared_Donaldson-Alex_Kuznetsov,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
