match_id,player,Date,avg_srv_win_1_3,avg_srv_win_4_6,avg_srv_win_7plus,avg_ret_win_1_3,avg_ret_win_4_6,avg_ret_win_7plus
20221101-M-Paris_Masters-R64-Hubert_Hurkacz-Adrian_Mannarino,Adrian Mannarino,2022-11-01,0.46271920854470705,0.4717754153895458,0.5557078063898468,0.4850319901778109,0.4801051535787853,0.4829219894437286
20230117-M-Australian_Open-R128-John_Isner-Adrian_Mannarino,Adrian Mannarino,2023-01-17,0.46271920854470705,0.4717754153895458,0.5557078063898468,0.482587232309829,0.48159060260804765,0.4902717765326461
20230119-M-Australian_Open-R64-Adrian_Mannarino-Alex_De_Minaur,Adrian Mannarino,2023-01-19,0.46271920854470705,0.4717754153895458,0.5557078063898468,0.4831470640341762,0.4908911277123208,0.494492092819852
20230217-M-Delray_Beach-QF-Taylor_Fritz-Adrian_Mannarino,Adrian Mannarino,2023-02-17,0.46527421711910466,0.46292890954016275,0.5463969514975917,0.4831470640341762,0.4908911277123208,0.494492092819852
20230311-M-Indian_Wells_Masters-R64-Lorenzo_Musetti-Adrian_Mannarino,Adrian Mannarino,2023-03-11,0.46527421711910466,0.46292890954016275,0.5463969514975917,0.48064474372122207,0.49246306125383976,0.4969544452989722
20230312-M-Indian_Wells_Masters-R32-Jannik_Sinner-Adrian_Mannarino,Adrian Mannarino,2023-03-12,0.46527421711910466,0.46292890954016275,0.5463969514975917,0.4860063325443652,0.49358257777368564,0.4953785789911248
20230325-M-Miami_Masters-R64-Ben_Shelton-Adrian_Mannarino,Adrian Mannarino,2023-03-25,0.46527421711910466,0.46292890954016275,0.5463969514975917,0.48415895667843656,0.48849882840748426,0.49815026853479555
20230327-M-Miami_Masters-R32-Hubert_Hurkacz-Adrian_Mannarino,Adrian Mannarino,2023-03-27,0.46527421711910466,0.46292890954016275,0.5463969514975917,0.484686991455822,0.49354886746056814,0.49821192625030236
20230615-M-s_Hertogenbosch-R16-Adrian_Mannarino-Daniil_Medvedev,Adrian Mannarino,2023-06-15,0.46527421711910466,0.46292890954016275,0.5463969514975917,0.48483778857426835,0.492860911162557,0.5019352951982399
20230620-M-Queens_Club-R32-Liam_Broady-Adrian_Mannarino,Adrian Mannarino,2023-06-20,0.4622762071719001,0.4754595479979112,0.5603286849192611,0.48483778857426835,0.492860911162557,0.5019352951982399
20230622-M-Queens_Club-R16-Taylor_Fritz-Adrian_Mannarino,Adrian Mannarino,2023-06-22,0.4622762071719001,0.4754595479979112,0.5603286849192611,0.48563048523234287,0.49015432018872707,0.5032141029375805
20230623-M-Queens_Club-QF-Adrian_Mannarino-Alex_De_Minaur,Adrian Mannarino,2023-06-23,0.4622762071719001,0.4754595479979112,0.5603286849192611,0.4858788693311757,0.4913996438193717,0.5050929904638461
20230705-M-Wimbledon-R128-Alexander_Shevchenko-Adrian_Mannarino,Adrian Mannarino,2023-07-05,0.4613068159040734,0.47663341572748796,0.5567381984114496,0.4858788693311757,0.4913996438193717,0.5050929904638461
