match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Winner,p1_avg_first_serve_pct,p1_avg_first_serve_won_pct,p1_avg_second_serve_won_pct,p1_avg_ace_pct,p1_avg_df_pct,p1_avg_return_won_pct,p1_avg_winners_per_pt,p1_avg_ue_per_pt,p1_avg_winners_fh_ratio,p1_avg_bp_save_pct,p1_avg_bp_clutch_save_pct,p1_avg_bp_first_in_pct,p1_avg_bpo_conv_pct,p1_avg_bpo_ue_pct,p1_avg_srv_win_1_3,p1_avg_srv_win_4_6,p1_avg_srv_win_7plus,p1_avg_ret_win_1_3,p1_avg_ret_win_4_6,p1_avg_ret_win_7plus,p1_rating_before,p1_rating_surface_before,p1_Surface,p1_hand,p2_avg_first_serve_pct,p2_avg_first_serve_won_pct,p2_avg_second_serve_won_pct,p2_avg_ace_pct,p2_avg_df_pct,p2_avg_return_won_pct,p2_avg_winners_per_pt,p2_avg_ue_per_pt,p2_avg_winners_fh_ratio,p2_avg_bp_save_pct,p2_avg_bp_clutch_save_pct,p2_avg_bp_first_in_pct,p2_avg_bpo_conv_pct,p2_avg_bpo_ue_pct,p2_avg_srv_win_1_3,p2_avg_srv_win_4_6,p2_avg_srv_win_7plus,p2_avg_ret_win_1_3,p2_avg_ret_win_4_6,p2_avg_ret_win_7plus,p2_rating_before,p2_rating_surface_before,p2_Surface,p2_hand
19960904-M-US_Open-QF-Goran_Ivanisevic-Stefan_Edberg,Goran Ivanisevic,Stefan Edberg,L,R,1996-09-04,US Open,QF,21:00,Ashe,Hard,Wayne McKewen,5,1,Edo,1.0,0.5489363937846543,0.8129065647337244,0.5133648686530561,0.1956890401985333,0.0576475514713672,0.3224636255835577,0.2203178623871815,0.1633225643386296,0.3212469075914509,0.6213417364435464,0.6809838544799672,0.5199382438678714,0.3211472929025931,0.1602774889776867,0.5367505972899039,0.5016133004926109,0.3971550671550671,0.5050679721020348,0.4691941546086907,0.4650798298105617,1550.9774687681993,1527.2689720927322,Hard,L,0.6287230000949408,0.7220450503881778,0.525768394303937,0.0400316542934007,0.0421977416858963,0.3849618769761681,0.1824360431756077,0.138376169574497,0.4893012670408879,0.6190626449631738,0.6501723591539478,0.6223973482590397,0.380721471852217,0.1570459829415433,0.5022522226443873,0.5331057430682042,0.4667555823322095,0.5182467113635603,0.5584729611824255,0.4913790238539871,1622.3315990976832,1604.1934325636705,Hard,R
19960903-M-US_Open-R16-Tim_Henman-Stefan_Edberg,Tim Henman,Stefan Edberg,R,R,1996-09-03,US Open,R16,3pm,Armstrong,Hard,Javier Moreno-Perez,5,1,Edo,2.0,0.6037293058427998,0.7080369253309372,0.4379509379509379,0.0731988248031562,0.0524108127495114,0.3078287353524627,0.1938764430553024,0.1468259354195454,0.4433141006174714,0.7261366084895498,0.6913849085972359,0.6323394410835969,0.256600818309679,0.0918360823424114,0.4463299131807419,0.4128787878787878,0.5833333333333333,0.5229007633587787,0.4470588235294118,0.4074074074074074,1495.5531200635207,1500.0,Hard,R,0.6286375574626065,0.7217213322087532,0.5256819906497917,0.0398466411424188,0.0423465619406305,0.3849938167025589,0.1825594878547022,0.1382790291917497,0.489597564097112,0.6176637521851879,0.6497533354141718,0.6219261876023447,0.381037454605972,0.1566722847422424,0.5022522226443873,0.5331057430682042,0.4667555823322095,0.5181679723091647,0.5587909743693329,0.4908412167333814,1611.4805753949863,1592.348851568228,Hard,R
19960831-M-US_Open-R32-Paul_Haarhuis-Stefan_Edberg,Paul Haarhuis,Stefan Edberg,R,R,1996-08-31,US Open,R32,15:00,Centre,Hard,Richard Kaufman,5,1,Edo,2.0,0.6101851851851852,0.6851160862354893,0.4435975609756097,0.0629629629629629,0.0212962962962962,0.2930944963655244,0.1221338229294165,0.1944308445532435,0.4684065934065934,0.6136363636363636,0.6511520737327189,0.6064516129032258,0.3303571428571428,0.1175595238095238,,,,0.4530218068535825,0.4638888888888889,0.4825396825396825,1471.6570087661803,1473.2066949160228,Hard,R,0.6286277365601689,0.7216139115632009,0.5250187292679358,0.039826796225877,0.0425185673872056,0.3850403917215056,0.1824456608456651,0.1379849780098454,0.4896925113204721,0.6166277507771492,0.6492055394328284,0.6220801558406089,0.3804701812166687,0.1563692851390787,0.5022522226443873,0.5331057430682042,0.4667555823322095,0.5180836690224649,0.5587314705088235,0.489654120415657,1601.1836986849007,1581.1665172200155,Hard,R
19960828-M-US_Open-R64-Leander_Paes-Andre_Agassi,Leander Paes,Andre Agassi,R,R,1996-08-28,US Open,R64,14:30,Ashe,Hard,Javier Moreno,5,1,Edo,2.0,0.7023809523809523,0.6610169491525424,0.56,0.0952380952380952,0.0,0.359375,0.2094594594594594,0.1418918918918918,0.4838709677419355,0.5,0.5806451612903226,0.6451612903225806,0.3125,0.125,0.4903846153846153,0.6,0.4444444444444444,,,,1516.0,1516.0,Hard,R,0.6461162038890671,0.6949825426249533,0.5589774700011235,0.0446548151748702,0.0214119285043953,0.405572805278355,0.1689268812235033,0.1522309457214574,0.4984866173143115,0.5923038172484435,0.6455659083434235,0.6108948091698957,0.4121362861843073,0.1264484799698433,0.5015019426974845,0.5348867335547249,0.5724505599848195,0.5128656995146649,0.5332867421519121,0.5692738579227483,1799.712137439827,1785.7348535746632,Hard,R
19960827-M-US_Open-R128-Richard_Krajicek-Stefan_Edberg,Richard Krajicek,Stefan Edberg,R,R,1996-08-27,US Open,R128,2:05 PM,Stadium,Hard,W. McKewen,5,1,BG,2.0,0.5708892909959519,0.7760397599390538,0.4896270181646964,0.1507772539511603,0.0442052534913309,0.348457926156279,0.2377069857314108,0.1394229419628827,0.389450318181771,0.6014679936506562,0.6371051852333834,0.5377864216128326,0.3416720909297607,0.1417740882367922,0.4998472502028899,0.5489919390617136,0.4218491072470533,0.4813834497691194,0.492409893642288,0.5324878099387903,1579.6412898944118,1559.344860916324,Hard,R,0.6285580848499166,0.7212018442119464,0.525072944730114,0.0399859018907588,0.0423341256886642,0.3848559727135865,0.1826764093217279,0.1380023050281734,0.4899655470969583,0.6144370522101614,0.6491095991733019,0.6223235755002948,0.3804598363817247,0.1569052508298881,0.5022522226443873,0.5331057430682042,0.4667555823322095,0.5177265875111938,0.5582645155399909,0.489557429952252,1585.4512314440638,1565.4475264550813,Hard,R
19960826-M-US_Open-R128-Michael_Stich-Tommy_Haas,Michael Stich,Tommy Haas,R,R,1996-08-26,US Open,R128,11:07,Grandstand,Hard,,5,1,1HandBH,1.0,0.5662015605973856,0.7520520128262834,0.5247747839236027,0.1091325367485706,0.0456329337700845,0.3392560606058841,0.1988164732640374,0.1549868893319699,0.3652581403830055,0.6455539334031981,0.6551720098880474,0.5628838864330161,0.3297396040742698,0.1714045689142571,0.5048935382545987,0.5019369307676509,0.4700589165584847,0.4979945097143369,0.4901543218642065,0.4723531558137315,1528.2596461425164,1530.1610185908323,Hard,R,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,Hard,R
19960825-M-Canada_Masters-F-Todd_Woodbridge-Wayne_Ferreira,Todd Woodbridge,Wayne Ferreira,R,R,1996-08-25,Canada Masters,F,15:00,Centre,Hard,Paulo Pereira,3,1,Edo,2.0,0.5443066157760814,0.6671834625322998,0.5278854326024137,0.0668893129770992,0.0594783715012722,0.448369511348994,0.1950236360846661,0.1871411256507737,0.5856355448006991,0.3207070707070707,0.5483166851646318,0.5686644469108398,0.4452343607928714,0.1502830060010911,0.5026275245444055,0.5614316239316239,0.6608391608391608,,,,1486.9400582968092,1516.0,Hard,R,0.5337347517605491,0.6868898125072886,0.5007686961659283,0.0862213190746092,0.026434355420761,0.3775603114611123,0.2072654521684278,0.180171140274181,0.4964080129430366,0.693441770647653,0.6230562811747506,0.5344890258735073,0.3624508304195804,0.1430601516539016,0.4566079087355456,0.5508015640273705,0.5914766081871345,0.48997820743795,0.4864717348927875,0.4388888888888889,1535.5573687359506,1531.132891692831,Hard,R
19960824-M-Canada_Masters-SF-Wayne_Ferreira-Todd_Martin,Wayne Ferreira,Todd Martin,R,R,1996-08-24,Canada Masters,SF,5pm,Central,Hard,,3,1,Edo,1.0,0.5340897162977704,0.6813754719971256,0.4865927956182037,0.092586269418601,0.0242583109570602,0.3758584010683389,0.2151844509449197,0.1864633525347409,0.4737273842501698,0.7210763093116034,0.6255981559290383,0.5131002400960384,0.3785152347652348,0.1436560463346177,0.4426607123657129,0.5447519550342131,0.6060124269005848,0.48997820743795,0.4864717348927875,0.4388888888888889,1519.5415312717228,1515.9354112510914,Hard,R,0.5948959866937706,0.7451308017424293,0.5063325397217933,0.1108774862156896,0.0305741783266568,0.3308532387091917,0.1947417398001057,0.1549657356814777,0.3975835235158572,0.6026587301587302,0.6329619090120846,0.5864620706172766,0.3338771474299001,0.1501789692413399,0.5084994817682825,0.4368097549560943,0.4125259850014408,0.5168724948542952,0.4604059462550028,0.4782608695652173,1519.885437550114,1498.4942846712024,Hard,R
19960824-M-Canada_Masters-SF-Todd_Woodbridge-Marcelo_Rios,Todd Woodbridge,Marcelo Rios,R,L,1996-08-24,Canada Masters,SF,,Centre,Hard,,3,1,tsitsi,1.0,0.5664599236641221,0.6007751937984496,0.5168281489036206,0.0378339694656488,0.0517175572519083,0.3655367231638418,0.19975194897236,0.1879281833215214,0.5728977616454931,0.4810606060606061,0.5224750277469479,0.5529966703662597,0.3709765411893071,0.1472995090016366,0.4467984296737511,0.4671474358974359,0.6730769230769231,,,,1470.924549409926,1500.0,Hard,R,0.5546515602324239,0.6760957119166074,0.4469073954368072,0.0294870884937956,0.0223822113394135,0.3455056162496002,0.179230607277802,0.2253651944083145,0.4954677754677755,0.5892857142857143,0.5579349810877788,0.532466885497732,0.2961500974658869,0.1925682261208577,0.3725490196078431,0.3684210526315789,0.5,0.454862912990832,0.4957570207570207,0.5473869126043039,1471.2613207150885,1500.0,Hard,L
19960818-M-Indianapolis-F-Pete_Sampras-Goran_Ivanisevic,Pete Sampras,Goran Ivanisevic,R,L,1996-08-18,Indianapolis,F,3pm,Centre,Hard,Paulo Pereira,3,1,Edo,1.0,0.5738726848250327,0.8025574374374403,0.5477396075971519,0.1398257713842252,0.0401316826072169,0.3690085987904507,0.2163880513369614,0.1484498968451091,0.4066010320360911,0.6299647869338135,0.6943963193844747,0.5732864382430038,0.3723410886830423,0.1539467880208981,0.5235222283884684,0.5424599359166467,0.5169064701035552,0.5338148370324571,0.5503227886122957,0.5410288224733524,1787.93643360256,1734.6243867890296,Hard,R,0.5499837472912426,0.8144792288520675,0.5126275617979539,0.1952995760626516,0.0573281768778697,0.3236703775134691,0.2209385909017482,0.1623304404771706,0.3235088495120065,0.6226552407860457,0.6813509618597954,0.5215178569585006,0.321840360744741,0.1628788725563001,0.5367505972899039,0.5016133004926109,0.3971550671550671,0.5047968620378089,0.4717895008926997,0.4745569676621328,1557.695078170667,1534.9686518103072,Hard,L
19960817-M-Indianapolis-SF-Pete_Sampras-Bohdan_Ulihrach,Pete Sampras,Bohdan Ulihrach,R,R,1996-08-17,Indianapolis,SF,,Center,Hard,C. Bernades,3,1,BG,1.0,0.57331259149472,0.8031798144723844,0.547126429879669,0.1402300323564104,0.0400974543386674,0.368149359675512,0.2165002803871656,0.1484688054253851,0.4054188532780001,0.6311251868171511,0.6935514899395505,0.5725393964156146,0.3718912459639351,0.1536545528012557,0.5233976769085568,0.5407571205031121,0.515962225445641,0.5338148370324571,0.5503227886122957,0.5410288224733524,1782.6817832640938,1727.8328984534971,Hard,R,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,Hard,R
19960811-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Michael Chang,Andre Agassi,R,R,1996-08-11,Cincinnati Masters,F,16:00,Center,Hard,Norm Chryst,3,1,Edo,2.0,0.5787114485770121,0.6440411802082161,0.5174725751837913,0.048164385212917,0.0233410269173695,0.3638349194411519,0.1562156483760683,0.1417280234712727,0.5071038487378636,0.5635691896063939,0.6004799524449844,0.5682539677284785,0.3415110162462912,0.1200150552250744,0.4839403493778835,0.4505966410574091,0.4896957054903408,0.4865668842362689,0.4421026490607222,0.5044952555311689,1491.1072776216818,1523.1869494029384,Hard,R,0.6465773659279579,0.6950276061464409,0.5588529589868491,0.044244220469476,0.0216260477894392,0.4053932392134915,0.1688096984228351,0.1523339003399623,0.4977571977731688,0.5915292042336704,0.6445002543469278,0.6107508786512211,0.4119291826511632,0.1258082686512786,0.5015019426974845,0.5348867335547249,0.5724505599848195,0.5123690193203918,0.5319451745131566,0.5732115118125001,1794.9713248505211,1779.7871936553238,Hard,R
19960810-M-Cincinnati_Masters-SF-Thomas_Muster-Andre_Agassi,Thomas Muster,Andre Agassi,L,R,1996-08-10,Cincinnati Masters,SF,3pm,Centre,Hard,Norm Chryst,3,1,Edo,2.0,0.6522369754463623,0.6615137845005161,0.5487283051581605,0.039816758967613,0.0249541575539501,0.3954543953597466,0.1348595003986449,0.1678794059438867,0.5459487585200675,0.609306792652465,0.6127164104279372,0.6419367318711534,0.3827470171554421,0.1428186724938892,0.4868631953085567,0.4768689679301189,0.4930518980714642,0.5010112190636147,0.5408225180442121,0.512577224773885,1583.6415662206814,1466.669532385053,Hard,L,0.6457852181090483,0.6943852517675648,0.5571517492061835,0.0439335560297738,0.0218444927166053,0.404269265198813,0.1683936347705405,0.1520544447878408,0.4974940429647209,0.5977558274361301,0.6427097227610011,0.6114240367254138,0.4108150505135463,0.1254557765755186,0.5015019426974845,0.5348867335547249,0.5724505599848195,0.5106489008765789,0.5321584812008916,0.5711321607303341,1787.4091929302206,1775.15276278174,Hard,R
19960809-M-Cincinnati_Masters-QF-Yevgeny_Kafelnikov-Andre_Agassi,Yevgeny Kafelnikov,Andre Agassi,R,R,1996-08-09,Cincinnati Masters,QF,,,Hard,,3,1,chsv,2.0,0.5582596768673848,0.7229112620568067,0.4944637943364346,0.0553396627841049,0.0453487312750108,0.3341789186436385,0.1647664599770794,0.1751116999183098,0.4154434619720448,0.5717941372353137,0.635417796886423,0.5412111462308512,0.3533330983121847,0.1234488354229555,0.475802687352246,0.4634190400651501,0.470697487509893,0.4802631578947368,0.5085779641631719,0.615224358974359,1465.1914954701383,1467.1961265186517,Hard,R,0.6454548538087301,0.6957634478682716,0.5570060673467714,0.0439127044434015,0.021832819114253,0.403962385921827,0.1685209782019274,0.1516310372132598,0.4979962693003918,0.604114931983323,0.6435712823730949,0.6127930371079701,0.4110879636999855,0.1251600434789495,0.5015019426974845,0.5348867335547249,0.5724505599848195,0.5117434181570539,0.5320438801597889,0.5709103212284614,1782.983111060881,1770.396500881265,Hard,R
19960805-M-Cincinnati_Masters-R64-Stefano_Pescosolido-Stefan_Edberg,Stefano Pescosolido,Stefan Edberg,R,R,1996-08-05,Cincinnati Masters,R64,3pm,Centre,Hard,,3,1,Edo,2.0,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,Hard,R,0.6285042738693061,0.7207664952849405,0.5250489733490323,0.0397366174648584,0.0425680158858391,0.3840225013710412,0.1826665219731326,0.1382283543452308,0.4915094102533531,0.612221173199875,0.6494311489427174,0.6217437459324914,0.3797993934888061,0.156922151918196,0.5022522226443873,0.5331057430682042,0.4667555823322095,0.5162784149715605,0.5590028600262172,0.4904023113668958,1572.7535282977278,1551.816215527618,Hard,R
