match_id,Winner
19870516-M-Rome_Masters-SF-Mats_Wilander-John_Mcenroe,1
19870524-M-Rome_Masters-F-Mats_Wilander-Martin_Jaite,1
19870603-M-Roland_Garros-QF-Andres_Gomez-Ivan_Lendl,2
19870603-M-Roland_Garros-QF-Boris_Becker-Jimmy_Connors,1
19870605-M-Roland_Garros-SF-Mats_Wilander-Boris_Becker,1
19870605-M-Roland_Garros-SF-Miloslav_Mecir-Ivan_Lendl,2
19870607-M-Roland_Garros-F-Mats_Wilander-Ivan_Lendl,2
19870623-M-Wimbledon-R128-Pat_Cash-Marcel_Freeman,1
19870626-M-Wimbledon-R64-Peter_Doohan-Boris_Becker,1
19870630-M-Wimbledon-R16-Mikael_Pernfors-Jimmy_Connors,2
19870701-M-Wimbledon-QF-Pat_Cash-Mats_Wilander,1
19870704-M-Wimbledon-SF-Pat_Cash-Jimmy_Connors,1
19870704-M-Wimbledon-SF-Stefan_Edberg-Ivan_Lendl,2
19870705-M-Wimbledon-F-Pat_Cash-Ivan_Lendl,1
19870724-M-Davis_Cup_World_Group_PO-RR-John_Mcenroe-Boris_Becker,2
19870816-M-Canada_Masters-F-Stefan_Edberg-Ivan_Lendl,2
19870823-M-Cincinnati-F-Boris_Becker-Stefan_Edberg,2
19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,2
19870901-M-US_Open-R128-Boris_Becker-Tim_Wilkison,1
19870903-M-US_Open-R32-Andrew_Castle-Boris_Becker,2
19870904-M-US_Open-R64-Stefan_Edberg-Dan_Goldie,1
19870905-M-US_Open-R32-John_Mcenroe-Slobodan_Zivojinovic,1
19870906-M-US_Open-R32-Stefan_Edberg-Kelly_Evernden,1
19870907-M-US_Open-R16-Brad_Gilbert-Boris_Becker,1
19870912-M-US_Open-SF-Jimmy_Connors-Ivan_Lendl,2
19870912-M-US_Open-SF-Stefan_Edberg-Mats_Wilander,2
19870914-M-US_Open-F-Ivan_Lendl-Mats_Wilander,1
19871025-M-Tokyo_Indoor-F-Stefan_Edberg-Ivan_Lendl,1
19871108-M-Stockholm-F-Jonas_Svensson-Stefan_Edberg,2
19871204-M-Tour_Finals-RR-Mats_Wilander-Stefan_Edberg,2
19871206-M-Tour_Finals-F-Mats_Wilander-Ivan_Lendl,2
